instrument,direction,qty,entry_ms,exit_ms,holding_ms,entry_price,exit_price,gross_pnl,fees,pnl,entry_fill_id,exit_fill_id,entry_decision_id,exit_decision_id,entry_reason,exit_reason
MSTR,long,61.0,1709922660000,1709923020000,360000,136.7,135.76,-57.34,3.6853678016000004,-61.0253678016,f-0478,f-0479,,,,
MSTR,long,60.0,1709926260000,1709926620000,360000,138.36,138.66,18.0,3.6855023760000005,14.314497624,f-0480,f-0481,,,,
MSTR,long,59.0,1709929860000,1709930220000,360000,140.83,141.58,44.25,3.6943944332000007,40.5556055668,f-0482,f-0483,,,,
MSTR,long,52.0,1710181860000,1710182220000,360000,161.96,160.83,-58.76,3.7200857096000006,-62.4800857096,f-0484,f-0485,,,,
MSTR,long,54.0,1710185460000,1710185820000,360000,154.56,151.9,-143.64,3.6681721560000002,-147.308172156,f-0486,f-0487,,,,
MSTR,long,55.0,1710261060000,1710261420000,360000,148.12,148.78,36.3,3.620071774000001,32.679928226,f-0488,f-0489,,,,
MSTR,long,48.0,1710426660000,1710427020000,360000,171.22,169.53,-81.12,3.6244431264000005,-84.7444431264,f-0490,f-0491,,,,
MSTR,long,49.0,1710428460000,1710428820000,360000,168.0,170.0,98.0,3.6703548000000006,94.3296452,f-0492,f-0493,,,,
MSTR,long,40.0,1710433860000,1710434220000,360000,161.6,166.26,186.4,2.9066678240000003,183.493332176,f-0494,f-0495,,,,
MSTR,long,42.0,1710444660000,1710445020000,360000,158.52,158.88,15.12,2.9547122976000004,12.165287702399999,f-0496,f-0497,,,,
MSTR,long,51.0,1710522060000,1710522420000,360000,164.74,164.3,-22.44,3.7190351580000005,-26.159035158000002,f-0498,f-0499,,,,
MSTR,long,50.0,1710525660000,1710526020000,360000,169.0,170.85,92.5,3.7656975500000005,88.73430245,f-0500,f-0501,,,,
MSTR,long,58.0,1710783060000,1710783420000,360000,146.7,148.95,130.5,3.8016005460000004,126.698399454,f-0502,f-0503,,,,
MSTR,long,67.0,1710856860000,1710857220000,360000,130.0,126.43,-239.19,3.8102930686000005,-243.0002930686,f-0504,f-0505,,,,
MSTR,long,68.0,1710860460000,1710860820000,360000,125.62,126.81,80.92,3.8073763448000006,77.1126236552,f-0506,f-0507,,,,
MSTR,long,61.0,1710867660000,1710868020000,360000,139.12,140.0,53.68,3.7752778000000005,49.9047222,f-0508,f-0509,,,,
